1000,170,4800,-1200,18,6,3.3,-0.9,93,22.8
1000,200,3300,-1100,14.5,2.5,3.3,-0.9,82.5,22.6
1000,230,3300,-1200,12.5,0.5,3.3,-0.9,83.7,22.6
1000,260,4400,-1400,10,-0.3,3,-1,84.1,22.5
1000,290,4000,-1900,10,-2,2.8,-1.1,83.6,23.4
5000,170,3300,-1100,17.5,7,2.5,-0.7,83,22.8
5000,200,3300,-1200,13.5,2.5,2.2,-0.7,84,22.8
5000,230,3300,-1200,12,1,2.2,-0.7,84.4,22.8
5000,260,4000,-1600,10,-0.3,2.2,-0.9,84.5,23.5
5000,290,3800,-1900,7.5,-2,2.2,-1,84,23.4
10000,170,2300,-1200,16,7,2,-0.7,83.6,23
10000,200,3000,-1100,12.5,2.5,2,-0.7,84.8,24.1
10000,230,3200,-1100,10.5,2,2,-0.8,85.3,24.7
10000,260,3200,-1500,7.8,-0.2,2,-0.9,84.7,25.4
10000,290,3000,-2100,6,-2,1.8,-1,84.5,26
15000,170,2100,-1200,15,7,1.2,-0.5,84.6,23
15000,200,2700,-1100,11,2.8,1.2,-0.5,85.7,27.1
15000,230,2700,-1300,9,2,1.2,-0.5,85.3,27.4
15000,260,2600,-1600,7,-0.5,1.2,-0.7,85,27.9
15000,290,2500,-2200,5.5,-2,1.1,-0.7,84.7,28.7
20000,200,2200,-1200,10,3,1,-0.5,86.1,30.1
20000,230,2100,-1300,7.5,1,1,-0.6,85.4,30.8
20000,260,2200,-1700,6,-0.5,1,-0.9,85.4,30.1
20000,290,2100,-2200,4.5,-2,1,-1,84.9,31.1
25000,200,1700,-1200,8,3,0.7,-0.5,85.7,34.4
25000,230,1800,-1500,7,1,0.7,-0.5,85.5,34
25000,260,1700,-1800,5,0,0.7,-0.7,85.4,33.3
25000,290,1500,-2300,3,-2,0.5,-0.9,85.2,33.8
30000,200,1100,-1300,7.5,3,0.4,-0.5,85.7,38.2
30000,230,1300,-1600,5.5,1,0.4,-0.7,86.1,37.6
30000,260,1300,-2000,4,-0.3,0.3,-0.9,86,36.8
30000,290,1200,-2400,2.5,-2.5,0.2,-1,85.5,37.4
35000,200,700,-1500,7,2.7,0.1,-0.6,85.7,41.1
35000,230,700,-1700,5,1,0.2,-0.6,85.9,41.5
35000,260,900,-2000,3,-0.5,0.2,-0.7,85.9,41
35000,278,800,-3000,2.5,-2.5,-0.1,-0.9,85.8,41.5
40000,230,400,-1700,3,1,0.05,-0.5,85.8,45.2
40000,250,200,-1800,2.5,-0.5,-0.05,-0.7,85.7,45.2
